signal_date,atm_iv,rv5,rv10,rv20,rv60,iv_minus_rv20,iv_rank,iv_percentile,iv_zscore_252,winsorized_iv_rank_252,iv_lookback_count,is_iv_warmup,rv5_minus_rv20,rv20_change_5d,rv20_change_10d,rv20_percentile_252,ret_1d,ret_3d,ret_5d,abs_ret_1d,abs_ret_5d,high_low_range_5d,high_low_range_10d,range_percentile_252,close_position_20d_range,distance_to_20d_high,distance_to_20d_low,underlying_volume_zscore_20d,option_total_volume,option_total_open_interest,call_volume,put_volume,put_call_volume_ratio,put_call_oi_ratio,dte,strike,straddle_close_price,straddle_premium_to_spot,call_close,put_close,valuation_score,compression_score,trigger_score,liquidity_score,old_vol_long_score,event_date,event_type,relative_day
2024-10-17,0.2844038512137189,1.04073350665308,1.0520725217572555,0.7565400241617369,0.4769614400058237,-0.472136172948018,,,,,150.0,True,0.2841934824913431,0.2320721744202815,0.5266041968176757,,-0.0033741565785184,-0.0196129237303265,-0.1122818670292258,0.0033741565785184,0.1122818670292258,0.0669860776484561,0.3775514374925983,,0.5553505236492184,-0.1447074332856982,0.2679295907633365,0.4020853337562703,,,,,,,29,5500.0,,,,,100.0,5.535052364921844,52.66112212897908,0.0,80.0,2024-10-08,top_single_trade,5
2024-09-10,0.1921981474293387,0.153312835542189,0.2104666193268083,0.2133982677836137,0.2327535248138488,-0.021200120354275,,,,,134.0,True,-0.0600854322414246,-0.0424473186420653,-0.0364522688956426,,0.0026910770262704,-0.0216286309530387,-0.0185507732596272,0.0026910770262704,0.0185507732596272,0.0486223294598653,0.0659515898149245,,0.1912658049332989,-0.0756016202726392,0.0197235878650867,0.3348610901212465,,,,,,,10,4500.0,,,,,63.25007522142192,80.8734195066701,20.339435927625924,0.0,53.81602166376951,2024-09-30,top_single_trade,-10
2024-09-13,0.1654233627638399,0.1795391462361603,0.2271464279052478,0.2000984285397872,0.2335124222056271,-0.0346750657759473,,,,,135.0,True,-0.0205592823036269,-0.0559201310544931,-0.0501431268089065,,-0.0165765010527398,-0.0210816529003934,-0.0302327977616621,0.0165765010527398,0.0302327977616621,0.0486223294598653,0.0659515898149245,,0.0339559651531943,-0.074080120416091,0.0028201387373374,-0.4635033680680466,,,,,,,35,4400.0,,,,,71.6719161099671,80.17077111119178,24.379408191177134,0.0,56.24151183967052,2024-09-30,top_single_trade,-9
2024-09-18,0.1753199743766292,0.1372998310163977,0.2057633335906259,0.188446955433217,0.232840788360547,-0.0131269810565878,,,,,136.0,True,-0.0511471244168192,-0.0691434179952895,-0.0544336809169746,,-0.0031845465336254,-0.0170702183640087,-0.0409106272409367,0.0031845465336254,0.0409106272409367,0.0583776408536051,0.0803291421713563,,0.1530845359460711,-0.0668056155769629,0.013109572554631,-0.6124369635147483,,,,,,,30,4400.0,,,,,58.20436316036741,81.00284824573427,7.844640998308832,0.0,52.36285659018581,2024-09-30,top_single_trade,-8
2024-09-19,0.1808218190868848,0.2090491166346276,0.2051105222919784,0.1943651318622348,0.2361245757905255,-0.01354331277535,,,,,137.0,True,0.0146839847723928,-0.0207587666910175,-0.054588440217961,,0.0188994959279704,-0.0011812391791514,-0.0057569181115748,0.0188994959279704,0.0057569181115748,0.0426980398247556,0.0676052949735004,,0.3766730195850417,-0.049168712108555,0.0322568327957151,1.1740087946727795,,,,,,,29,4500.0,,,,,58.46457048459377,31.21437105299881,54.90217096376998,0.0,52.43779629956301,2024-09-30,top_single_trade,-7
2024-09-20,0.1715627365492304,0.2044921977830731,0.1797826797016376,0.194046595741651,0.2327397713744144,-0.0224838591924206,,,,,138.0,True,0.0104456020414221,-0.0212530905421727,-0.0659220750922499,,-0.004220736498384,0.0113679519418528,-0.0027204366676896,0.004220736498384,0.0027204366676896,0.0426980398247556,0.0627661447963108,,0.3473203864957552,-0.0485307592093191,0.027899948705828,0.115435677848999,,,,,,,28,4500.0,,,,,64.05241199526289,35.915627166498595,26.665740126913573,0.0,54.047094654635714,2024-09-30,top_single_trade,-6
2024-09-23,0.1735607226686961,0.2033402086264214,0.1715241709027219,0.1847869475220798,0.2324411559971617,-0.0112262248533837,,,,,139.0,True,0.0185532611043416,-0.0286113202615339,-0.0710586389035993,,0.0012942054970697,0.0159120892270321,-0.0041097692952464,0.0012942054970697,0.0041097692952464,0.0426980398247556,0.0627661447963108,,0.3638811728815357,-0.047299362487595,0.0292302624698808,-0.0145245228241199,,,,,,,25,4500.0,,,,,57.01639053336481,30.881357251704078,19.517293544853697,0.0,52.02072047360907,2024-09-30,top_single_trade,-5
2024-09-24,0.1775888639110803,0.287964345039178,0.2640437828802665,0.2299358273440612,0.245815903261782,-0.0523469634329809,,,,,140.0,True,0.0580285176951167,0.0298373988042739,-0.0260827322502192,,0.0388050916188973,0.0357593218407459,0.0519738886218106,0.0388050916188973,0.0519738886218106,0.0691696371019661,0.0691696371019661,,0.8610777512651017,-0.0103297269635442,0.0691696371019661,3.23469155799567,,,,,,,24,4600.0,,,,,82.71685214561307,36.92922608687818,93.27913293475798,0.0,69.42245341793657,2024-09-30,top_single_trade,-4
2024-09-25,0.1712719074238147,0.2641777720432776,0.2650752174022846,0.2259566537794687,0.2468670115874469,-0.054684746355654,,,,,141.0,True,0.0382211182638088,0.0375096983462516,-0.0316337196490378,,0.0094130655608219,0.0499405144931186,0.0652685851840084,0.0094130655608219,0.0652685851840084,0.0944868802571281,0.1053952795958426,,0.7517775112460807,-0.0236670800817607,0.0792338009916473,3.194404497972644,,,,,,,23,4700.0,,,,,84.17796647228376,34.25228518135438,72.96219451633056,0.0,69.84325434401772,2024-09-30,top_single_trade,-3
2024-09-26,0.2226214337229041,0.3269691466984832,0.2990137843719229,0.2615176155645223,0.2607424723048467,-0.0388961818416182,,,,,142.0,True,0.0654515311339608,0.0671524837022875,0.0463937170112699,,0.04009034158253,0.0906215000199366,0.0874238048690725,0.04009034158253,0.0874238048690725,0.1007113916747555,0.1225006527208145,,1.0,0.0,0.1225006527208145,2.3328162187002746,,,,,,,22,4900.0,,,,,74.3101136510114,50.0,100.0,0.0,67.00131273149128,2024-09-30,top_single_trade,-2
2024-09-27,0.3330051913664575,0.3446868836480189,0.3588783500062861,0.3128343887452403,0.2822687910146628,0.0201708026212171,,,,,143.0,True,0.0318524949027786,0.1187877930035893,0.0975347024614165,,0.0538164938123035,0.1063816826660011,0.1508023749214184,0.0538164938123035,0.1508023749214184,0.1616180945804237,0.1893813855607631,,0.9658272464881954,-0.0054412180037951,0.1829097021522709,2.4346841792588347,,,,,,,21,5100.0,,,,,37.39324836173927,58.31085177266178,100.0,0.0,56.36925552818091,2024-09-30,top_single_trade,-1
2024-09-30,0.5685500409670432,0.5615423441477834,0.5762277829093992,0.4633791035476552,0.3548678948487734,0.1051709374193879,,,,,144.0,True,0.0981632406001281,0.2785921560255754,0.2499808357640415,,0.1114361135049,0.2182055091114907,0.2773901136878327,0.1114361135049,0.2773901136878327,0.2835056042800536,0.3201962862816796,,0.9829238360075464,-0.0041415995114789,0.314728561987359,3.3434446838718888,,,,,,,18,5700.0,,,,,0.0,48.29238360075464,100.0,0.0,41.06923126451017,2024-09-30,top_single_trade,0
2024-10-08,0.7491441024713255,0.5957771047946459,0.5953682734744726,0.5244678497414554,0.3889020301757908,0.22467625272987,,,,,145.0,True,0.0713092550531904,0.2945320223973942,0.3243694212016682,,0.0863854700208228,0.2724286647873166,0.3358983992810684,0.0863854700208228,0.3358983992810684,0.3775514374925983,0.4824513156173262,,0.8877621283225202,-0.036526871596009,0.4283020067644374,2.927014486621496,,,,,,,10,6200.0,,,,,0.0,38.77621283225202,100.0,0.0,40.0,2024-09-30,top_single_trade,1
2024-10-11,0.3983176358606642,1.5153503043435523,1.034528847169409,0.7518389845626642,0.4818168773468188,-0.3535213487019999,,,,,146.0,True,0.7635113197808882,0.5258823307831955,0.5633920291294472,,-0.1266091016596072,0.0545741323447162,0.1558811182925807,0.1266091016596072,0.1558811182925807,0.3775514374925983,0.4678220049540234,,0.5129346004015551,-0.1585113388564097,0.2474659727893777,0.6403518069754877,,,,,,,35,5400.0,,,,,100.0,1.293460040155514,84.8927978552832,0.0,80.0,2024-09-30,top_single_trade,2
2024-10-14,0.3221008510434526,1.5141358876632214,1.0372142620400897,0.7573455146658509,0.481478953074654,-0.4352446636223983,,,,,147.0,True,0.7567903729973705,0.4958278991013285,0.5629803828036161,,0.0367376047988561,-0.0163027395230731,0.1521551293203564,0.0367376047988561,0.1521551293203564,0.3017839587398556,0.4536749237054245,,0.6079263859451717,-0.1275970609805979,0.2932948846977345,0.6020150924899004,,,,,,,32,5600.0,,,,,100.0,10.792638594517168,84.4668343609989,0.0,80.0,2024-09-30,top_single_trade,3
2024-10-15,0.2764457161139017,1.52809725577148,1.0510188175720667,0.7564991059482788,0.4830870639720337,-0.4800533898343772,,,,,148.0,True,0.7715981498232012,0.4436647172030385,0.5624525102066278,,-0.0193349736348067,-0.1120301895583307,0.0721774112533331,0.0193349736348067,0.0721774112533331,0.2128222433987698,0.4478470013583926,,0.5560956173511123,-0.1444649488054661,0.2682890622000733,0.6720419046061327,,,,,,,31,5500.0,,,,,100.0,5.609561735111235,73.39488075652007,0.0,80.0,2024-09-30,top_single_trade,4
2024-10-16,0.2860465690900714,1.2961605650308998,1.050110084152664,0.7568633407393319,0.4800237913155619,-0.4708167716492605,,,,,149.0,True,0.5392972242915679,0.2934842371916766,0.5720763932172521,,0.0031011902688853,0.0198452668437665,-0.0323308516437828,0.0031011902688853,0.0323308516437828,0.2040033709258097,0.4412512680415206,,0.564248161598599,-0.1418117718300113,0.2722222678979018,0.2324125698563944,,,,,,,30,5500.0,,,,,100.0,6.424816159859903,50.472573297165866,0.0,80.0,2024-09-30,top_single_trade,5
2024-09-13,0.1654233627638399,0.1795391462361603,0.2271464279052478,0.2000984285397872,0.2335124222056271,-0.0346750657759473,,,,,135.0,True,-0.0205592823036269,-0.0559201310544931,-0.0501431268089065,,-0.0165765010527398,-0.0210816529003934,-0.0302327977616621,0.0165765010527398,0.0302327977616621,0.0486223294598653,0.0659515898149245,,0.0339559651531943,-0.074080120416091,0.0028201387373374,-0.4635033680680466,,,,,,,35,4400.0,,,,,71.6719161099671,80.17077111119178,24.379408191177134,0.0,56.24151183967052,2024-10-09,top_single_trade,-10
2024-09-18,0.1753199743766292,0.1372998310163977,0.2057633335906259,0.188446955433217,0.232840788360547,-0.0131269810565878,,,,,136.0,True,-0.0511471244168192,-0.0691434179952895,-0.0544336809169746,,-0.0031845465336254,-0.0170702183640087,-0.0409106272409367,0.0031845465336254,0.0409106272409367,0.0583776408536051,0.0803291421713563,,0.1530845359460711,-0.0668056155769629,0.013109572554631,-0.6124369635147483,,,,,,,30,4400.0,,,,,58.20436316036741,81.00284824573427,7.844640998308832,0.0,52.36285659018581,2024-10-09,top_single_trade,-9
2024-09-19,0.1808218190868848,0.2090491166346276,0.2051105222919784,0.1943651318622348,0.2361245757905255,-0.01354331277535,,,,,137.0,True,0.0146839847723928,-0.0207587666910175,-0.054588440217961,,0.0188994959279704,-0.0011812391791514,-0.0057569181115748,0.0188994959279704,0.0057569181115748,0.0426980398247556,0.0676052949735004,,0.3766730195850417,-0.049168712108555,0.0322568327957151,1.1740087946727795,,,,,,,29,4500.0,,,,,58.46457048459377,31.21437105299881,54.90217096376998,0.0,52.43779629956301,2024-10-09,top_single_trade,-8
2024-09-20,0.1715627365492304,0.2044921977830731,0.1797826797016376,0.194046595741651,0.2327397713744144,-0.0224838591924206,,,,,138.0,True,0.0104456020414221,-0.0212530905421727,-0.0659220750922499,,-0.004220736498384,0.0113679519418528,-0.0027204366676896,0.004220736498384,0.0027204366676896,0.0426980398247556,0.0627661447963108,,0.3473203864957552,-0.0485307592093191,0.027899948705828,0.115435677848999,,,,,,,28,4500.0,,,,,64.05241199526289,35.915627166498595,26.665740126913573,0.0,54.047094654635714,2024-10-09,top_single_trade,-7
2024-09-23,0.1735607226686961,0.2033402086264214,0.1715241709027219,0.1847869475220798,0.2324411559971617,-0.0112262248533837,,,,,139.0,True,0.0185532611043416,-0.0286113202615339,-0.0710586389035993,,0.0012942054970697,0.0159120892270321,-0.0041097692952464,0.0012942054970697,0.0041097692952464,0.0426980398247556,0.0627661447963108,,0.3638811728815357,-0.047299362487595,0.0292302624698808,-0.0145245228241199,,,,,,,25,4500.0,,,,,57.01639053336481,30.881357251704078,19.517293544853697,0.0,52.02072047360907,2024-10-09,top_single_trade,-6
2024-09-24,0.1775888639110803,0.287964345039178,0.2640437828802665,0.2299358273440612,0.245815903261782,-0.0523469634329809,,,,,140.0,True,0.0580285176951167,0.0298373988042739,-0.0260827322502192,,0.0388050916188973,0.0357593218407459,0.0519738886218106,0.0388050916188973,0.0519738886218106,0.0691696371019661,0.0691696371019661,,0.8610777512651017,-0.0103297269635442,0.0691696371019661,3.23469155799567,,,,,,,24,4600.0,,,,,82.71685214561307,36.92922608687818,93.27913293475798,0.0,69.42245341793657,2024-10-09,top_single_trade,-5
2024-09-25,0.1712719074238147,0.2641777720432776,0.2650752174022846,0.2259566537794687,0.2468670115874469,-0.054684746355654,,,,,141.0,True,0.0382211182638088,0.0375096983462516,-0.0316337196490378,,0.0094130655608219,0.0499405144931186,0.0652685851840084,0.0094130655608219,0.0652685851840084,0.0944868802571281,0.1053952795958426,,0.7517775112460807,-0.0236670800817607,0.0792338009916473,3.194404497972644,,,,,,,23,4700.0,,,,,84.17796647228376,34.25228518135438,72.96219451633056,0.0,69.84325434401772,2024-10-09,top_single_trade,-4
2024-09-26,0.2226214337229041,0.3269691466984832,0.2990137843719229,0.2615176155645223,0.2607424723048467,-0.0388961818416182,,,,,142.0,True,0.0654515311339608,0.0671524837022875,0.0463937170112699,,0.04009034158253,0.0906215000199366,0.0874238048690725,0.04009034158253,0.0874238048690725,0.1007113916747555,0.1225006527208145,,1.0,0.0,0.1225006527208145,2.3328162187002746,,,,,,,22,4900.0,,,,,74.3101136510114,50.0,100.0,0.0,67.00131273149128,2024-10-09,top_single_trade,-3
2024-09-27,0.3330051913664575,0.3446868836480189,0.3588783500062861,0.3128343887452403,0.2822687910146628,0.0201708026212171,,,,,143.0,True,0.0318524949027786,0.1187877930035893,0.0975347024614165,,0.0538164938123035,0.1063816826660011,0.1508023749214184,0.0538164938123035,0.1508023749214184,0.1616180945804237,0.1893813855607631,,0.9658272464881954,-0.0054412180037951,0.1829097021522709,2.4346841792588347,,,,,,,21,5100.0,,,,,37.39324836173927,58.31085177266178,100.0,0.0,56.36925552818091,2024-10-09,top_single_trade,-2
2024-09-30,0.5685500409670432,0.5615423441477834,0.5762277829093992,0.4633791035476552,0.3548678948487734,0.1051709374193879,,,,,144.0,True,0.0981632406001281,0.2785921560255754,0.2499808357640415,,0.1114361135049,0.2182055091114907,0.2773901136878327,0.1114361135049,0.2773901136878327,0.2835056042800536,0.3201962862816796,,0.9829238360075464,-0.0041415995114789,0.314728561987359,3.3434446838718888,,,,,,,18,5700.0,,,,,0.0,48.29238360075464,100.0,0.0,41.06923126451017,2024-10-09,top_single_trade,-1
2024-10-08,0.7491441024713255,0.5957771047946459,0.5953682734744726,0.5244678497414554,0.3889020301757908,0.22467625272987,,,,,145.0,True,0.0713092550531904,0.2945320223973942,0.3243694212016682,,0.0863854700208228,0.2724286647873166,0.3358983992810684,0.0863854700208228,0.3358983992810684,0.3775514374925983,0.4824513156173262,,0.8877621283225202,-0.036526871596009,0.4283020067644374,2.927014486621496,,,,,,,10,6200.0,,,,,0.0,38.77621283225202,100.0,0.0,40.0,2024-10-09,top_single_trade,0
2024-10-11,0.3983176358606642,1.5153503043435523,1.034528847169409,0.7518389845626642,0.4818168773468188,-0.3535213487019999,,,,,146.0,True,0.7635113197808882,0.5258823307831955,0.5633920291294472,,-0.1266091016596072,0.0545741323447162,0.1558811182925807,0.1266091016596072,0.1558811182925807,0.3775514374925983,0.4678220049540234,,0.5129346004015551,-0.1585113388564097,0.2474659727893777,0.6403518069754877,,,,,,,35,5400.0,,,,,100.0,1.293460040155514,84.8927978552832,0.0,80.0,2024-10-09,top_single_trade,1
2024-10-14,0.3221008510434526,1.5141358876632214,1.0372142620400897,0.7573455146658509,0.481478953074654,-0.4352446636223983,,,,,147.0,True,0.7567903729973705,0.4958278991013285,0.5629803828036161,,0.0367376047988561,-0.0163027395230731,0.1521551293203564,0.0367376047988561,0.1521551293203564,0.3017839587398556,0.4536749237054245,,0.6079263859451717,-0.1275970609805979,0.2932948846977345,0.6020150924899004,,,,,,,32,5600.0,,,,,100.0,10.792638594517168,84.4668343609989,0.0,80.0,2024-10-09,top_single_trade,2
2024-10-15,0.2764457161139017,1.52809725577148,1.0510188175720667,0.7564991059482788,0.4830870639720337,-0.4800533898343772,,,,,148.0,True,0.7715981498232012,0.4436647172030385,0.5624525102066278,,-0.0193349736348067,-0.1120301895583307,0.0721774112533331,0.0193349736348067,0.0721774112533331,0.2128222433987698,0.4478470013583926,,0.5560956173511123,-0.1444649488054661,0.2682890622000733,0.6720419046061327,,,,,,,31,5500.0,,,,,100.0,5.609561735111235,73.39488075652007,0.0,80.0,2024-10-09,top_single_trade,3
2024-10-16,0.2860465690900714,1.2961605650308998,1.050110084152664,0.7568633407393319,0.4800237913155619,-0.4708167716492605,,,,,149.0,True,0.5392972242915679,0.2934842371916766,0.5720763932172521,,0.0031011902688853,0.0198452668437665,-0.0323308516437828,0.0031011902688853,0.0323308516437828,0.2040033709258097,0.4412512680415206,,0.564248161598599,-0.1418117718300113,0.2722222678979018,0.2324125698563944,,,,,,,30,5500.0,,,,,100.0,6.424816159859903,50.472573297165866,0.0,80.0,2024-10-09,top_single_trade,4
2024-10-17,0.2844038512137189,1.04073350665308,1.0520725217572555,0.7565400241617369,0.4769614400058237,-0.472136172948018,,,,,150.0,True,0.2841934824913431,0.2320721744202815,0.5266041968176757,,-0.0033741565785184,-0.0196129237303265,-0.1122818670292258,0.0033741565785184,0.1122818670292258,0.0669860776484561,0.3775514374925983,,0.5553505236492184,-0.1447074332856982,0.2679295907633365,0.4020853337562703,,,,,,,29,5500.0,,,,,100.0,5.535052364921844,52.66112212897908,0.0,80.0,2024-10-09,top_single_trade,5
2024-09-10,0.1921981474293387,0.153312835542189,0.2104666193268083,0.2133982677836137,0.2327535248138488,-0.021200120354275,,,,,134.0,True,-0.0600854322414246,-0.0424473186420653,-0.0364522688956426,,0.0026910770262704,-0.0216286309530387,-0.0185507732596272,0.0026910770262704,0.0185507732596272,0.0486223294598653,0.0659515898149245,,0.1912658049332989,-0.0756016202726392,0.0197235878650867,0.3348610901212465,,,,,,,10,4500.0,,,,,63.25007522142192,80.8734195066701,20.339435927625924,0.0,53.81602166376951,2024-09-30,top_single_trade,-10
2024-09-13,0.1654233627638399,0.1795391462361603,0.2271464279052478,0.2000984285397872,0.2335124222056271,-0.0346750657759473,,,,,135.0,True,-0.0205592823036269,-0.0559201310544931,-0.0501431268089065,,-0.0165765010527398,-0.0210816529003934,-0.0302327977616621,0.0165765010527398,0.0302327977616621,0.0486223294598653,0.0659515898149245,,0.0339559651531943,-0.074080120416091,0.0028201387373374,-0.4635033680680466,,,,,,,35,4400.0,,,,,71.6719161099671,80.17077111119178,24.379408191177134,0.0,56.24151183967052,2024-09-30,top_single_trade,-9
2024-09-18,0.1753199743766292,0.1372998310163977,0.2057633335906259,0.188446955433217,0.232840788360547,-0.0131269810565878,,,,,136.0,True,-0.0511471244168192,-0.0691434179952895,-0.0544336809169746,,-0.0031845465336254,-0.0170702183640087,-0.0409106272409367,0.0031845465336254,0.0409106272409367,0.0583776408536051,0.0803291421713563,,0.1530845359460711,-0.0668056155769629,0.013109572554631,-0.6124369635147483,,,,,,,30,4400.0,,,,,58.20436316036741,81.00284824573427,7.844640998308832,0.0,52.36285659018581,2024-09-30,top_single_trade,-8
2024-09-19,0.1808218190868848,0.2090491166346276,0.2051105222919784,0.1943651318622348,0.2361245757905255,-0.01354331277535,,,,,137.0,True,0.0146839847723928,-0.0207587666910175,-0.054588440217961,,0.0188994959279704,-0.0011812391791514,-0.0057569181115748,0.0188994959279704,0.0057569181115748,0.0426980398247556,0.0676052949735004,,0.3766730195850417,-0.049168712108555,0.0322568327957151,1.1740087946727795,,,,,,,29,4500.0,,,,,58.46457048459377,31.21437105299881,54.90217096376998,0.0,52.43779629956301,2024-09-30,top_single_trade,-7
2024-09-20,0.1715627365492304,0.2044921977830731,0.1797826797016376,0.194046595741651,0.2327397713744144,-0.0224838591924206,,,,,138.0,True,0.0104456020414221,-0.0212530905421727,-0.0659220750922499,,-0.004220736498384,0.0113679519418528,-0.0027204366676896,0.004220736498384,0.0027204366676896,0.0426980398247556,0.0627661447963108,,0.3473203864957552,-0.0485307592093191,0.027899948705828,0.115435677848999,,,,,,,28,4500.0,,,,,64.05241199526289,35.915627166498595,26.665740126913573,0.0,54.047094654635714,2024-09-30,top_single_trade,-6
2024-09-23,0.1735607226686961,0.2033402086264214,0.1715241709027219,0.1847869475220798,0.2324411559971617,-0.0112262248533837,,,,,139.0,True,0.0185532611043416,-0.0286113202615339,-0.0710586389035993,,0.0012942054970697,0.0159120892270321,-0.0041097692952464,0.0012942054970697,0.0041097692952464,0.0426980398247556,0.0627661447963108,,0.3638811728815357,-0.047299362487595,0.0292302624698808,-0.0145245228241199,,,,,,,25,4500.0,,,,,57.01639053336481,30.881357251704078,19.517293544853697,0.0,52.02072047360907,2024-09-30,top_single_trade,-5
2024-09-24,0.1775888639110803,0.287964345039178,0.2640437828802665,0.2299358273440612,0.245815903261782,-0.0523469634329809,,,,,140.0,True,0.0580285176951167,0.0298373988042739,-0.0260827322502192,,0.0388050916188973,0.0357593218407459,0.0519738886218106,0.0388050916188973,0.0519738886218106,0.0691696371019661,0.0691696371019661,,0.8610777512651017,-0.0103297269635442,0.0691696371019661,3.23469155799567,,,,,,,24,4600.0,,,,,82.71685214561307,36.92922608687818,93.27913293475798,0.0,69.42245341793657,2024-09-30,top_single_trade,-4
2024-09-25,0.1712719074238147,0.2641777720432776,0.2650752174022846,0.2259566537794687,0.2468670115874469,-0.054684746355654,,,,,141.0,True,0.0382211182638088,0.0375096983462516,-0.0316337196490378,,0.0094130655608219,0.0499405144931186,0.0652685851840084,0.0094130655608219,0.0652685851840084,0.0944868802571281,0.1053952795958426,,0.7517775112460807,-0.0236670800817607,0.0792338009916473,3.194404497972644,,,,,,,23,4700.0,,,,,84.17796647228376,34.25228518135438,72.96219451633056,0.0,69.84325434401772,2024-09-30,top_single_trade,-3
2024-09-26,0.2226214337229041,0.3269691466984832,0.2990137843719229,0.2615176155645223,0.2607424723048467,-0.0388961818416182,,,,,142.0,True,0.0654515311339608,0.0671524837022875,0.0463937170112699,,0.04009034158253,0.0906215000199366,0.0874238048690725,0.04009034158253,0.0874238048690725,0.1007113916747555,0.1225006527208145,,1.0,0.0,0.1225006527208145,2.3328162187002746,,,,,,,22,4900.0,,,,,74.3101136510114,50.0,100.0,0.0,67.00131273149128,2024-09-30,top_single_trade,-2
2024-09-27,0.3330051913664575,0.3446868836480189,0.3588783500062861,0.3128343887452403,0.2822687910146628,0.0201708026212171,,,,,143.0,True,0.0318524949027786,0.1187877930035893,0.0975347024614165,,0.0538164938123035,0.1063816826660011,0.1508023749214184,0.0538164938123035,0.1508023749214184,0.1616180945804237,0.1893813855607631,,0.9658272464881954,-0.0054412180037951,0.1829097021522709,2.4346841792588347,,,,,,,21,5100.0,,,,,37.39324836173927,58.31085177266178,100.0,0.0,56.36925552818091,2024-09-30,top_single_trade,-1
2024-09-30,0.5685500409670432,0.5615423441477834,0.5762277829093992,0.4633791035476552,0.3548678948487734,0.1051709374193879,,,,,144.0,True,0.0981632406001281,0.2785921560255754,0.2499808357640415,,0.1114361135049,0.2182055091114907,0.2773901136878327,0.1114361135049,0.2773901136878327,0.2835056042800536,0.3201962862816796,,0.9829238360075464,-0.0041415995114789,0.314728561987359,3.3434446838718888,,,,,,,18,5700.0,,,,,0.0,48.29238360075464,100.0,0.0,41.06923126451017,2024-09-30,top_single_trade,0
2024-10-08,0.7491441024713255,0.5957771047946459,0.5953682734744726,0.5244678497414554,0.3889020301757908,0.22467625272987,,,,,145.0,True,0.0713092550531904,0.2945320223973942,0.3243694212016682,,0.0863854700208228,0.2724286647873166,0.3358983992810684,0.0863854700208228,0.3358983992810684,0.3775514374925983,0.4824513156173262,,0.8877621283225202,-0.036526871596009,0.4283020067644374,2.927014486621496,,,,,,,10,6200.0,,,,,0.0,38.77621283225202,100.0,0.0,40.0,2024-09-30,top_single_trade,1
2024-10-11,0.3983176358606642,1.5153503043435523,1.034528847169409,0.7518389845626642,0.4818168773468188,-0.3535213487019999,,,,,146.0,True,0.7635113197808882,0.5258823307831955,0.5633920291294472,,-0.1266091016596072,0.0545741323447162,0.1558811182925807,0.1266091016596072,0.1558811182925807,0.3775514374925983,0.4678220049540234,,0.5129346004015551,-0.1585113388564097,0.2474659727893777,0.6403518069754877,,,,,,,35,5400.0,,,,,100.0,1.293460040155514,84.8927978552832,0.0,80.0,2024-09-30,top_single_trade,2
2024-10-14,0.3221008510434526,1.5141358876632214,1.0372142620400897,0.7573455146658509,0.481478953074654,-0.4352446636223983,,,,,147.0,True,0.7567903729973705,0.4958278991013285,0.5629803828036161,,0.0367376047988561,-0.0163027395230731,0.1521551293203564,0.0367376047988561,0.1521551293203564,0.3017839587398556,0.4536749237054245,,0.6079263859451717,-0.1275970609805979,0.2932948846977345,0.6020150924899004,,,,,,,32,5600.0,,,,,100.0,10.792638594517168,84.4668343609989,0.0,80.0,2024-09-30,top_single_trade,3
2024-10-15,0.2764457161139017,1.52809725577148,1.0510188175720667,0.7564991059482788,0.4830870639720337,-0.4800533898343772,,,,,148.0,True,0.7715981498232012,0.4436647172030385,0.5624525102066278,,-0.0193349736348067,-0.1120301895583307,0.0721774112533331,0.0193349736348067,0.0721774112533331,0.2128222433987698,0.4478470013583926,,0.5560956173511123,-0.1444649488054661,0.2682890622000733,0.6720419046061327,,,,,,,31,5500.0,,,,,100.0,5.609561735111235,73.39488075652007,0.0,80.0,2024-09-30,top_single_trade,4
2024-10-16,0.2860465690900714,1.2961605650308998,1.050110084152664,0.7568633407393319,0.4800237913155619,-0.4708167716492605,,,,,149.0,True,0.5392972242915679,0.2934842371916766,0.5720763932172521,,0.0031011902688853,0.0198452668437665,-0.0323308516437828,0.0031011902688853,0.0323308516437828,0.2040033709258097,0.4412512680415206,,0.564248161598599,-0.1418117718300113,0.2722222678979018,0.2324125698563944,,,,,,,30,5500.0,,,,,100.0,6.424816159859903,50.472573297165866,0.0,80.0,2024-09-30,top_single_trade,5
2024-09-13,0.1654233627638399,0.1795391462361603,0.2271464279052478,0.2000984285397872,0.2335124222056271,-0.0346750657759473,,,,,135.0,True,-0.0205592823036269,-0.0559201310544931,-0.0501431268089065,,-0.0165765010527398,-0.0210816529003934,-0.0302327977616621,0.0165765010527398,0.0302327977616621,0.0486223294598653,0.0659515898149245,,0.0339559651531943,-0.074080120416091,0.0028201387373374,-0.4635033680680466,,,,,,,35,4400.0,,,,,71.6719161099671,80.17077111119178,24.379408191177134,0.0,56.24151183967052,2024-10-08,top_single_trade,-10
2024-09-18,0.1753199743766292,0.1372998310163977,0.2057633335906259,0.188446955433217,0.232840788360547,-0.0131269810565878,,,,,136.0,True,-0.0511471244168192,-0.0691434179952895,-0.0544336809169746,,-0.0031845465336254,-0.0170702183640087,-0.0409106272409367,0.0031845465336254,0.0409106272409367,0.0583776408536051,0.0803291421713563,,0.1530845359460711,-0.0668056155769629,0.013109572554631,-0.6124369635147483,,,,,,,30,4400.0,,,,,58.20436316036741,81.00284824573427,7.844640998308832,0.0,52.36285659018581,2024-10-08,top_single_trade,-9
